T,H,Surge,Sway,Heave,Roll,Pitch,Yaw,Force1,Force2
165.1000025,-1.77E+02,-1.05E+02,-1.23E+00,-2.45E+02,-1.58E-04,2.62E-02,-1.71E-04,4.53E+03,4.90E+03
166.1000025,1.13E+02,-2.63E+00,1.06E+00,7.95E+01,2.30E-05,1.72E-02,2.48E-04,5.20E+03,4.99E+03
167.1000025,4.10E+02,7.05E+01,6.02E+00,3.58E+02,3.29E-04,1.55E-02,-6.54E-05,5.76E+03,5.07E+03
168.1000025,6.41E+02,1.79E+02,1.82E+00,6.23E+02,1.46E-04,2.30E-02,-5.63E-04,6.53E+03,4.98E+03
169.1000025,8.02E+02,1.87E+02,-3.46E+00,7.51E+02,1.24E-04,8.26E-03,-2.08E-05,6.62E+03,5.23E+03
170.1000025,7.07E+02,8.45E+01,-4.15E+00,5.16E+02,-1.61E-03,-3.19E-02,-8.85E-05,5.71E+03,5.57E+03
171.1000025,6.90E+01,9.57E+01,-5.80E+00,1.45E+02,2.07E-05,-4.59E-02,-1.03E-04,5.23E+03,5.20E+03
172.1000026,-4.57E+02,1.88E+01,3.06E+00,-3.48E+02,-5.93E-04,-3.27E-02,-4.14E-04,4.43E+03,4.74E+03
173.1000026,-6.39E+02,-1.03E+02,-3.04E+00,-7.67E+02,1.44E-04,-1.58E-02,-1.45E-04,3.64E+03,4.56E+03
174.1000026,-9.03E+02,-2.01E+02,-2.35E+00,-8.53E+02,6.96E-04,-2.05E-03,-2.10E-04,3.29E+03,4.70E+03
175.1000026,-7.40E+02,-1.53E+02,1.06E+00,-6.77E+02,2.52E-04,2.38E-02,-1.01E-04,3.83E+03,4.56E+03
176.1000026,-1.38E+02,-2.13E+01,3.48E-01,-2.30E+02,1.62E-04,5.34E-02,-5.23E-04,5.04E+03,4.47E+03
177.1000026,3.96E+02,6.08E+01,-1.97E+00,3.48E+02,8.17E-05,4.79E-02,-4.15E-04,5.99E+03,4.91E+03
178.1000027,8.17E+02,8.18E+01,-7.24E-01,6.65E+02,6.24E-05,6.12E-03,-1.22E-04,6.13E+03,5.49E+03
179.1000027,7.18E+02,1.34E+02,-1.68E+00,6.26E+02,5.50E-04,-2.49E-02,8.17E-05,6.06E+03,5.49E+03
180.1000027,2.96E+02,1.50E+02,1.80E+00,3.99E+02,2.84E-04,-3.15E-02,-9.75E-05,5.78E+03,5.19E+03
181.1000027,1.01E+02,9.60E+01,1.80E+00,1.04E+02,-5.86E-05,-1.11E-02,2.95E-04,5.37E+03,4.87E+03
182.1000027,-8.00E+01,-4.02E+00,-9.66E-01,-1.49E+02,1.54E-04,-8.66E-03,-3.42E-04,4.75E+03,4.90E+03
183.1000027,-3.28E+02,-1.67E+02,-3.39E+00,-3.82E+02,-6.10E-05,-2.70E-02,-5.04E-04,3.81E+03,5.32E+03
184.1000027,-5.77E+02,-5.88E+01,3.82E+00,-5.12E+02,-1.23E-04,-1.03E-02,3.38E-04,4.11E+03,4.65E+03
